corpus,year,topic,n_docs,avg_probability_weight
speeches,2008,7,15,0.0338
speeches,2008,8,15,0.1109
speeches,2008,9,15,0.0792
speeches,2008,10,15,0.0816
speeches,2008,11,15,0.1122
speeches,2009,0,12,0.1553
speeches,2009,1,12,0.0851
speeches,2009,2,12,0.1179
speeches,2009,3,12,0.0161
speeches,2009,4,12,0.1395
speeches,2009,5,12,0.008
speeches,2009,6,12,0.0249
speeches,2009,7,12,0.017
speeches,2009,8,12,0.1021
speeches,2009,9,12,0.1422
speeches,2009,10,12,0.0265
speeches,2009,11,12,0.1654
speeches,2010,0,18,0.1274
speeches,2010,1,18,0.1164
speeches,2010,2,18,0.1411
speeches,2010,3,18,0.0054
speeches,2010,4,18,0.1573
speeches,2010,5,18,0.0125
speeches,2010,6,18,0.0519
speeches,2010,7,18,0.0202
speeches,2010,8,18,0.0865
speeches,2010,9,18,0.0825
speeches,2010,10,18,0.0407
speeches,2010,11,18,0.1582
speeches,2011,0,20,0.0478
speeches,2011,1,20,0.0532
speeches,2011,2,20,0.2094
speeches,2011,3,20,0.005
speeches,2011,4,20,0.1799
speeches,2011,5,20,0.0068
speeches,2011,6,20,0.0441
speeches,2011,7,20,0.0505
speeches,2011,8,20,0.1864
speeches,2011,9,20,0.1047
speeches,2011,10,20,0.0225
speeches,2011,11,20,0.0895
speeches,2012,0,30,0.0549
speeches,2012,1,30,0.0523
speeches,2012,2,30,0.148
speeches,2012,3,30,0.0027
speeches,2012,4,30,0.2305
speeches,2012,5,30,0.0078
speeches,2012,6,30,0.056
speeches,2012,7,30,0.0274
speeches,2012,8,30,0.1105
speeches,2012,9,30,0.1387
speeches,2012,10,30,0.0283
speeches,2012,11,30,0.1429
speeches,2013,0,26,0.1124
speeches,2013,1,26,0.039
speeches,2013,2,26,0.1253
speeches,2013,3,26,0.0222
speeches,2013,4,26,0.2712
speeches,2013,5,26,0.0013
speeches,2013,6,26,0.0674
speeches,2013,7,26,0.0147
speeches,2013,8,26,0.0702
speeches,2013,9,26,0.1136
speeches,2013,10,26,0.0449
speeches,2013,11,26,0.1178
speeches,2014,0,24,0.0691
speeches,2014,1,24,0.0799
speeches,2014,2,24,0.2249
speeches,2014,3,24,0.0124
speeches,2014,4,24,0.132
speeches,2014,5,24,0.0015
speeches,2014,6,24,0.05
speeches,2014,7,24,0.0124
speeches,2014,8,24,0.0541
speeches,2014,9,24,0.1101
speeches,2014,10,24,0.0152
speeches,2014,11,24,0.2383
speeches,2015,0,28,0.104
speeches,2015,1,28,0.0277
speeches,2015,2,28,0.2947
speeches,2015,3,28,0.0102
speeches,2015,4,28,0.1792
speeches,2015,5,28,0.001
speeches,2015,6,28,0.0631
speeches,2015,7,28,0.0377
speeches,2015,8,28,0.0471
speeches,2015,9,28,0.0525
speeches,2015,10,28,0.0316
speeches,2015,11,28,0.1514
speeches,2016,0,25,0.0785
speeches,2016,1,25,0.0401
speeches,2016,2,25,0.3349
speeches,2016,3,25,0.0121
speeches,2016,4,25,0.1152
speeches,2016,5,25,0.0034
speeches,2016,6,25,0.1084
speeches,2016,7,25,0.0192
speeches,2016,8,25,0.0477
speeches,2016,9,25,0.0339
speeches,2016,10,25,0.0186
speeches,2016,11,25,0.188
speeches,2017,0,29,0.0529
speeches,2017,1,29,0.0811
speeches,2017,2,29,0.1679
speeches,2017,3,29,0.0178
speeches,2017,4,29,0.1292
speeches,2017,5,29,0.0058
speeches,2017,6,29,0.0988
speeches,2017,7,29,0.0202
speeches,2017,8,29,0.021
speeches,2017,9,29,0.1322
speeches,2017,10,29,0.0221
speeches,2017,11,29,0.2511
speeches,2018,0,25,0.0963
speeches,2018,1,25,0.0374
speeches,2018,2,25,0.132
speeches,2018,3,25,0.0104
speeches,2018,4,25,0.1308
speeches,2018,5,25,0.0031
speeches,2018,6,25,0.1021
speeches,2018,7,25,0.0183
speeches,2018,8,25,0.0283
speeches,2018,9,25,0.1875
speeches,2018,10,25,0.019
speeches,2018,11,25,0.2347
speeches,2019,0,15,0.0646
speeches,2019,1,15,0.0892
speeches,2019,2,15,0.1604
speeches,2019,3,15,0.0094
speeches,2019,4,15,0.1417
speeches,2019,5,15,0.0039
speeches,2019,6,15,0.1835
speeches,2019,7,15,0.0052
speeches,2019,8,15,0.0287
speeches,2019,9,15,0.1151
speeches,2019,10,15,0.0109
speeches,2019,11,15,0.1872
speeches,2020,0,10,0.1479
speeches,2020,1,10,0.0132
speeches,2020,2,10,0.1347
speeches,2020,3,10,0.0025
speeches,2020,4,10,0.1657
speeches,2020,5,10,0.0177
speeches,2020,6,10,0.2784
speeches,2020,7,10,0.0041
speeches,2020,8,10,0.0262
speeches,2020,9,10,0.0708
speeches,2020,10,10,0.0013
speeches,2020,11,10,0.1374
speeches,2021,0,4,0.0287
speeches,2021,1,4,0.1068
speeches,2021,2,4,0.1153
speeches,2021,3,4,0.0082
speeches,2021,4,4,0.036
speeches,2021,5,4,0.003
speeches,2021,6,4,0.3471
speeches,2021,7,4,0.0144
speeches,2021,8,4,0.0441
speeches,2021,9,4,0.1917
speeches,2021,10,4,0.0119
speeches,2021,11,4,0.0928
speeches,2022,0,10,0.0247
speeches,2022,1,10,0.0189
speeches,2022,2,10,0.1668
speeches,2022,3,10,0.0129
speeches,2022,4,10,0.0773
speeches,2022,5,10,0.0137
speeches,2022,6,10,0.2745
speeches,2022,7,10,0.0158
speeches,2022,8,10,0.046
speeches,2022,9,10,0.1863
speeches,2022,10,10,0.0106
speeches,2022,11,10,0.1526
speeches,2023,0,18,0.0585
speeches,2023,1,18,0.034
speeches,2023,2,18,0.2204
speeches,2023,3,18,0.008
speeches,2023,4,18,0.1227
speeches,2023,5,18,0.0102
speeches,2023,6,18,0.2256
speeches,2023,7,18,0.0064
speeches,2023,8,18,0.0237
speeches,2023,9,18,0.1744
speeches,2023,10,18,0.02
speeches,2023,11,18,0.0963
speeches,2024,0,14,0.0557
speeches,2024,1,14,0.038
speeches,2024,2,14,0.0293
speeches,2024,3,14,0.0089
speeches,2024,4,14,0.0381
speeches,2024,5,14,0.0001
speeches,2024,6,14,0.1973
speeches,2024,7,14,0.0287
speeches,2024,8,14,0.0183
speeches,2024,9,14,0.3457
speeches,2024,10,14,0.0144
speeches,2024,11,14,0.2253
speeches,2025,0,16,0.053
speeches,2025,1,16,0.023
speeches,2025,2,16,0.0305
speeches,2025,3,16,0.0016
speeches,2025,4,16,0.054
speeches,2025,5,16,0.0034
speeches,2025,6,16,0.1272
speeches,2025,7,16,0.0319
speeches,2025,8,16,0.0006
speeches,2025,9,16,0.3012
speeches,2025,10,16,0.0284
speeches,2025,11,16,0.3453
speeches,2026,0,10,0.0547
speeches,2026,1,10,0.0316
speeches,2026,2,10,0.068
speeches,2026,3,10,0.0075
speeches,2026,4,10,0.0626
speeches,2026,5,10,0.0037
speeches,2026,6,10,0.3516
speeches,2026,7,10,0.0169
speeches,2026,8,10,0.0041
speeches,2026,9,10,0.2408
speeches,2026,10,10,0.0045
speeches,2026,11,10,0.154
