corpus,topic,top_words
statements,0,"employment, confidence, following, weak, particularly, subdued, final, sales, november, mining, cpi, outcome, downside, september, percentage"
statements,1,"depreciation, repo, effect, decision, mboweni, powers, view, appropriate, details, envisaged, note, material, counter, changed, round"
statements,2,"page, revised, january, core, headline, gdp, july, pdf, march, november, kganyago, lesetja, fuel, september, qpm"
statements,3,"members, central, objective, scenario, given, half, united, core, forecasts, decision, repo, august, moving, taken, decisions"
statements,4,"cpix, february, sales, june, april, respectively, advances, august, past, october, january, strong, ber, july, december"
statements,5,"billion, cpix, value, money, payments, annualised, rose, net, september, rise, government, october, foreign, nominal, august"
